caseId,dateDecision,decisionType,usCite,sctCite,term,naturalCourt,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
2019-013,3/30/20,1,,140 S. Ct. 1081,2019,1707,18-565,"CITGO ASPHALT REFINING CO. v. FRESCATI SHIPPING CO., LTD.",11/5/19,,234,,116,,1,0,109,,23,,0,2,2,2,1,2,0,0,0,0,80070,8,2,0,7,,9,900,NA,113,111,1,7,2
2019-014,1/14/20,6,,140 S. Ct. 592,2019,1707,18-1165,RETIREMENT PLANS COMMITTEE OF IBM v. JANDER,11/6/19,,146,,145,,1,0,96,,22,,0,13,4,2,1,5,0,2,0,0,80090,8,3,,4,,3,323,NA,,111,1,9,0
2019-015,4/23/20,1,,140 S. Ct. 1462,2019,1707,18-260,"COUNTY OF MAUI, HAWAII v. HAWAII WILDLIFE FUND",11/6/19,,5,15,150,,1,0,63,,29,,0,2,2,2,1,5,0,1,0,0,80130,8,2,0,4,,3,338,NA,110,111,1,6,3
2019-016,2/25/20,1,,140 S. Ct. 735,2019,1707,17-1678,HERNANDEZ v. MESA,11/12/19,,106,,260,,1,0,122,,25,,1,12,2,1,1,2,0,0,0,0,80060,8,1,0,1,,2,205,NA,112,111,1,5,4
2019-017,6/18/20,1,,140 S. Ct. 1891,2019,1707,18-587,DEPARTMENT OF HOMELAND SECURITY v. REGENTS OF THE UNIVERSITY OF CALIFORNIA,11/12/19,,422,,26,6,1,0,50,,29,,0,11,2,2,1,5,0,0,0,0,20110,2,2,0,5,,3,305,NA,111,111,1,5,4
2019-018,1/14/20,1,,140 S. Ct. 582,2019,1707,18-938,"RITZEN GROUP INC. v. JACKSON MASONRY, LLC",11/13/19,,123,,138,,1,0,117,,26,,0,11,2,2,1,2,0,0,0,0,80030,8,2,,4,,3,307,NA,109,111,1,9,0
2019-019,3/23/20,1,,140 S. Ct. 1009,2019,1707,18-1171,COMCAST CORP. v. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA,11/13/19,,124,,246,,1,0,48,,29,,0,2,3,2,1,5,0,1,0,0,20040,2,1,,4,,3,312,NA,115,111,1,9,0
2019-020,4/27/20,1,,140 S. Ct. 1498,2019,1707,18-1150,GEORGIA v. PUBLIC.RESOURCE.ORG INC.,12/2/19,,28,13,192,,1,0,60,,31,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,4,,6,600,"Copyright Act, 17 U.S.C 102",111,111,1,5,4
2019-022,4/20/20,1,,140 S. Ct. 1335,2019,1707,17-1498,ATLANTIC RICHFIELD CO. v. CHRISTIAN,12/3/19,,187,,195,,1,0,302,31,300,31,1,12,2,2,1,7,0,1,0,0,80130,8,1,0,4,,6,600,"CERCLA, 42 U.S.C. 9601",111,111,1,7,2
2019-024,2/26/20,1,,140 S. Ct. 768,2019,1707,18-1116,INTEL CORP. INVESTMENT POLICY COMMITTEE v. SULYMA,12/4/19,,146,,230,,1,0,50,,29,,0,2,3,2,1,2,0,0,0,0,80090,8,2,,4,,3,323,NA,112,111,1,9,0
